objectId,createdAt,updatedAt,ACL,name,state
1EpIqnAxF5,Thu Dec 19 2019 08:32:44 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:44 GMT-0600 (Central Standard Time),null,Calvary Baptist Theological Seminary,vKcIRkRCzk
1F1mtF77Wb,Thu Dec 19 2019 08:33:20 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:20 GMT-0600 (Central Standard Time),null,Aztec (East Campus),XgA7lyFnvc
1FKGaKgBsu,Thu Dec 19 2019 08:33:11 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:11 GMT-0600 (Central Standard Time),null,South Campus,WJfKBdeYC9
1GVyu8jldr,Thu Dec 19 2019 08:33:22 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:22 GMT-0600 (Central Standard Time),null,"USU Eastern, Price",kvDlk8xyD8
1GvIA2Bkji,Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),null,Schreiner University,WJfKBdeYC9
1Ha4Aq6jIZ,Thu Dec 19 2019 08:33:25 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:25 GMT-0600 (Central Standard Time),null,Ponce Health Sciences University,zueGGGFDQN
1NtX3irUzy,Thu Dec 19 2019 08:32:50 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:50 GMT-0600 (Central Standard Time),null,Keweenaw Bay Ojibwa Community College,FqjDwsbDyy
1O8tUABMFT,Thu Dec 19 2019 08:32:51 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:51 GMT-0600 (Central Standard Time),null,Rockhurst University,szstg9LhTE
1OXqSthLz6,Thu Dec 19 2019 08:33:22 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:22 GMT-0600 (Central Standard Time),null,"Roseman University of Health Sciences, regional campus in South Jordan of a Henderson, Nevada-based university",kvDlk8xyD8
1PAigt58PB,Thu Dec 19 2019 08:33:06 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:06 GMT-0600 (Central Standard Time),null,Denmark Technical College[c],0w9j40Cjb9
1PNaM2AlDE,Thu Dec 19 2019 08:32:54 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:54 GMT-0600 (Central Standard Time),null,Oglala Lakota College,MOEEAWyodk
1QxMjRcsK6,Thu Dec 19 2019 08:33:02 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:02 GMT-0600 (Central Standard Time),null,University of Southern Mississippi - Hattiesburg,4bZYw85dPD
